"","r","t","K100","K105","K110","K115","K120","K125","K126","K127","K128","K129","K130","K131","K132","K133","K134","K135","K136","K137","K138","K139","K140","K141","K142","K143","K144","K145","K146","K147","K148","K149","K150","K155","K160","K165","K170","K175","K180","K185","K190","K195","K200","S"
"22",0.0425,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.125
"23",0.0425,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,NA,NA,5.25,NA,NA,NA,NA,0.7,0.34,NA,NA,NA,NA,NA,NA,144.93
"24",0.0425,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,NA,NA,2.53,1.39,NA,NA,NA,NA,NA,NA,NA,NA,144.7029
"25",0.0425,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.23,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,144.92
"26",0.0425,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,NA,NA,NA,4.75,4.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.86
"27",0.0425,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.24,NA,NA,NA,NA,0.7,0.36,NA,NA,NA,NA,NA,NA,145.035
"28",0.0425,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,2.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.1
"29",0.0425,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.02,NA,NA,NA,NA,NA,NA,4.38,NA,1.41,0.74,NA,NA,NA,NA,NA,NA,NA,145.085
"30",0.0425,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,6.95,NA,6,5.4,4.86,4.5,2.61,1.4455,0.75,NA,NA,NA,NA,NA,NA,NA,145.28
"31",0.0425,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5775,NA,NA,NA,4.65,2.7,1.5167,NA,NA,0.22,NA,NA,NA,NA,NA,145.7801
"32",0.0425,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3475,6.6,NA,NA,5.11,4.67,NA,NA,0.7624,NA,NA,NA,NA,NA,NA,NA,145.72
"33",0.0425,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,9.66,NA,NA,NA,NA,NA,NA,NA,NA,4.7,2.72,1.47,0.75,NA,0.23,NA,NA,NA,NA,NA,145.6701
"34",0.0425,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.85,8.4,NA,NA,NA,6.075,NA,5.12,4.6,2.74,1.5,0.7498,0.38,NA,NA,NA,NA,NA,NA,145.79
"35",0.0425,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.65,NA,NA,NA,4.6,2.72,1.47,0.74,NA,NA,NA,NA,NA,NA,NA,145.6501
"36",0.0425,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,7.1,NA,NA,NA,NA,4.6005,2.738,1.42,0.74,0.38,0.2,NA,NA,NA,NA,NA,145.575
"37",0.0425,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.15,NA,NA,NA,5.05,NA,2.7045,NA,0.74,0.37,NA,NA,NA,NA,NA,NA,145.59
"38",0.0425,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.05,NA,NA,NA,NA,NA,2.68,NA,NA,0.35,NA,NA,NA,NA,NA,NA,145.5722
"39",0.0425,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA,NA,1.46,0.7306,NA,NA,NA,NA,NA,NA,NA,145.7508
"40",0.0425,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,NA,NA,NA,NA,NA,NA,NA,0.735,NA,NA,0.11,NA,NA,NA,NA,145.805
"41",0.0425,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,7.85,NA,6.75,NA,NA,NA,NA,2.8,1.49,0.755,NA,NA,NA,NA,NA,NA,NA,145.8999
"42",0.0425,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7467,NA,1.52,0.755,NA,NA,NA,NA,NA,NA,NA,146.01
"43",0.0425,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.46,9.73,NA,NA,NA,7.275,6.75,NA,5.7,NA,4.7,2.8,1.5,NA,NA,NA,NA,NA,NA,NA,NA,145.98
"44",0.0425,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7997,6.19,NA,5.17,NA,2.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.945
"45",0.0425,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,NA,NA,NA,NA,NA,NA,NA,NA,5.65,NA,NA,2.8033,NA,0.7605,0.39,NA,NA,NA,NA,NA,NA,146.05
"46",0.0425,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.85,NA,NA,NA,4.75,NA,1.53,NA,NA,NA,NA,NA,NA,NA,NA,146.0599
"47",0.0425,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.8801
"48",0.0425,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.34,NA,NA,NA,NA,4.71,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,146.0422
"49",0.0425,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.27,6.75,6.15,NA,NA,4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.8908
"50",0.0425,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.01,NA,NA,NA,6.66,NA,NA,NA,NA,2.75,1.48,NA,NA,NA,NA,NA,NA,NA,NA,145.8
"51",0.0425,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.47,NA,NA,NA,NA,NA,NA,NA,NA,145.84
"52",0.0425,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4333,NA,NA,NA,NA,NA,NA,NA,NA,1.4783,NA,NA,NA,NA,NA,NA,NA,NA,145.9601
"53",0.0425,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.905
"54",0.0425,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,145.88
"55",0.0425,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.25,NA,NA,NA,NA,NA,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.855
"56",0.0425,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.9
"57",0.0425,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.8489
"58",0.0425,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,NA,NA,NA,4.7,2.78,NA,0.76,0.39,NA,NA,NA,NA,NA,NA,145.9696
