"","c","t"
"247",145.15,1664888580000
"248",145.2,1664888640000
"249",145.23,1664888700000
"250",145.17,1664888760000
"251",145.12,1664888820000
"252",145.03,1664888880000
"253",145.06,1664888940000
"254",145.09,1.664889e+12
"255",145.06,1664889060000
"256",145.03,1664889120000
"257",145.08,1664889180000
"258",145.0098,1664889240000
"259",145.1,1664889300000
"260",145.18,1664889360000
"261",145.16,1664889420000
"262",145.18,1664889480000
"263",145.15,1664889540000
"264",145.14,1664889600000
"265",145.18,1664889660000
"266",145.11,1664889720000
"267",145.1,1664889780000
"268",145.05,1664889840000
"269",145.0467,1664889900000
"270",145.01,1664889960000
"271",145,1664890020000
"272",145,1664890080000
"273",145.09,1664890140000
"274",144.9594,1664890200000
"275",144.59,1664890260000
"276",144.6,1664890320000
"277",144.73,1664890380000
"278",144.769,1664890440000
"279",144.99,1664890500000
"280",145.07,1664890560000
"281",144.95,1664890620000
"282",144.9,1664890680000
"283",145.27,1664890740000
"284",145.24,1664890800000
"285",145.07,1664890860000
"286",145.13,1664890920000
"287",144.761,1664890980000
"288",144.7243,1664891040000
"289",145.02,1664891100000
"290",145.05,1664891160000
"291",144.9999,1664891220000
"292",145.17,1664891280000
"293",145.205,1664891340000
"294",145.23,1664891400000
"295",145.125,1664891460000
"296",144.93,1664891520000
"297",144.7029,1664891580000
"298",144.7801,1664891640000
"299",144.92,1664891700000
"300",144.86,1664891760000
"301",145.035,1664891820000
"302",145.1,1664891880000
"303",145.085,1664891940000
"304",145.28,1.664892e+12
"305",145.7801,1664892060000
"306",145.72,1664892120000
"307",145.6701,1664892180000
"308",145.79,1664892240000
"309",145.6501,1664892300000
"310",145.575,1664892360000
"311",145.59,1664892420000
"312",145.5722,1664892480000
"313",145.7508,1664892540000
"314",145.805,1664892600000
"315",145.8999,1664892660000
"316",146.01,1664892720000
"317",145.98,1664892780000
"318",145.945,1664892840000
"319",146.05,1664892900000
"320",146.0599,1664892960000
"321",145.8801,1664893020000
"322",146.0422,1664893080000
"323",145.8908,1664893140000
"324",145.8,1664893200000
"325",145.84,1664893260000
"326",145.9601,1664893320000
"327",145.905,1664893380000
"328",145.88,1664893440000
"329",145.855,1664893500000
"330",145.9,1664893560000
"331",145.8489,1664893620000
"332",145.9696,1664893680000
"333",145.72,1664893740000
"334",145.8855,1664893800000
"335",145.9797,1664893860000
"336",145.915,1664893920000
"337",146.0009,1664893980000
"338",146.12,1664894040000
"339",146.13,1664894100000
"340",146.09,1664894160000
"341",146.05,1664894220000
"342",146.0132,1664894280000
"343",146.0725,1664894340000
"344",146.1502,1664894400000
"345",146.165,1664894460000
"346",146.149,1664894520000
"347",146.12,1664894580000
"348",145.87,1664894640000
"349",145.78,1664894700000
"350",145.62,1664894760000
"351",145.605,1664894820000
"352",145.6245,1664894880000
"353",145.5577,1664894940000
