"","r","t","K100","K105","K110","K115","K120","K125","K126","K127","K128","K129","K130","K131","K132","K133","K134","K135","K136","K137","K138","K139","K140","K141","K142","K143","K144","K145","K146","K147","K148","K149","K150","K155","K160","K165","K170","K175","K180","K185","K190","K195","K200","S"
"1",0.0425,1664890200000,45.48,NA,NA,NA,26.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1,NA,NA,NA,7,NA,NA,NA,NA,4.2625,2.4642,1.17,NA,NA,NA,NA,NA,NA,0.05,NA,144.9594
"2",0.0425,1664890260000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.25,7.74,NA,NA,NA,NA,NA,NA,NA,2.4733,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.59
"3",0.0425,1664890320000,NA,NA,NA,NA,25.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,4.2425,NA,1.22,0.65,NA,NA,NA,NA,NA,NA,NA,144.6
"4",0.0425,1664890380000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.75,8.96,NA,NA,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.73
"5",0.0425,1664890440000,NA,NA,NA,NA,NA,21.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,NA,NA,6.65,6.17,NA,NA,NA,NA,2.5083,1.3,NA,NA,0.19,NA,NA,NA,NA,NA,144.769
"6",0.0425,1664890500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.85,NA,NA,9.2313,NA,7.7955,7.35,6.65,6.2469,NA,NA,NA,4.2,2.4625,1.3263,NA,NA,0.18,NA,NA,NA,NA,NA,144.99
"7",0.0425,1664890560000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.52,NA,NA,NA,NA,NA,NA,NA,7.86,7.4,6.9,6.3,NA,NA,NA,NA,2.5214,1.33,NA,NA,NA,NA,NA,NA,NA,NA,145.07
"8",0.0425,1664890620000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2,NA,7.94,NA,6.95,6.3667,NA,NA,NA,4.5,2.505,1.36,NA,NA,NA,NA,NA,NA,NA,NA,144.95
"9",0.0425,1664890680000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,6.2467,NA,5.22,NA,4.3,2.5318,NA,NA,0.35,NA,NA,NA,NA,NA,NA,144.9
"10",0.0425,1664890740000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,8.75,NA,NA,6.965,NA,NA,5.33,4.88,4.42,2.5304,1.42,NA,NA,NA,0.1,NA,NA,NA,NA,145.27
"11",0.0425,1664890800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,4.92,4.5,2.646,1.42,NA,NA,0.2,NA,NA,NA,NA,NA,145.24
"12",0.0425,1664890860000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.35,NA,7.95,NA,6.95,6.3857,NA,NA,NA,NA,2.5525,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.07
"13",0.0425,1664890920000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,NA,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.13
"14",0.0425,1664890980000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.67,NA,NA,NA,NA,9.09,8.57,NA,7.2,6.7,6.3,NA,NA,NA,4.332,NA,1.38,NA,NA,NA,NA,NA,NA,NA,NA,144.761
"15",0.0425,1664891040000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,0.17,NA,NA,NA,NA,NA,144.7243
"16",0.0425,1664891100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.35,NA,9.7,9,8.45,7.65,NA,NA,NA,NA,NA,NA,4.2,2.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.02
"17",0.0425,1664891160000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.5,NA,NA,NA,NA,NA,NA,12.2,NA,NA,9.89,NA,NA,NA,NA,NA,NA,5.7,NA,NA,4.4,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,145.05
"18",0.0425,1664891220000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,NA,NA,4.4,2.56,1.41,0.7,NA,NA,NA,NA,NA,NA,NA,144.9999
"19",0.0425,1664891280000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3,NA,NA,7.475,NA,NA,NA,NA,NA,NA,2.58,1.44,NA,NA,NA,NA,NA,NA,NA,NA,145.17
"20",0.0425,1664891340000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,NA,4.5,2.62,NA,NA,NA,NA,0.1,NA,NA,NA,NA,145.205
"21",0.0425,1664891400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.16,7.5,NA,NA,NA,NA,NA,NA,NA,1.4331,0.73,NA,NA,NA,NA,NA,NA,NA,145.23
"22",0.0425,1664891460000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.125
"23",0.0425,1664891520000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,NA,NA,5.25,NA,NA,NA,NA,0.7,0.34,NA,NA,NA,NA,NA,NA,144.93
"24",0.0425,1664891580000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,NA,NA,2.53,1.39,NA,NA,NA,NA,NA,NA,NA,NA,144.7029
"25",0.0425,1664891700000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.23,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,144.92
"26",0.0425,1664891760000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,NA,NA,NA,4.75,4.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.86
"27",0.0425,1664891820000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.24,NA,NA,NA,NA,0.7,0.36,NA,NA,NA,NA,NA,NA,145.035
"28",0.0425,1664891880000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,2.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.1
"29",0.0425,1664891940000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.02,NA,NA,NA,NA,NA,NA,4.38,NA,1.41,0.74,NA,NA,NA,NA,NA,NA,NA,145.085
"30",0.0425,1.664892e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,6.95,NA,6,5.4,4.86,4.5,2.61,1.4455,0.75,NA,NA,NA,NA,NA,NA,NA,145.28
"31",0.0425,1664892060000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5775,NA,NA,NA,4.65,2.7,1.5167,NA,NA,0.22,NA,NA,NA,NA,NA,145.7801
"32",0.0425,1664892120000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3475,6.6,NA,NA,5.11,4.67,NA,NA,0.7624,NA,NA,NA,NA,NA,NA,NA,145.72
"33",0.0425,1664892180000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,9.66,NA,NA,NA,NA,NA,NA,NA,NA,4.7,2.72,1.47,0.75,NA,0.23,NA,NA,NA,NA,NA,145.6701
"34",0.0425,1664892240000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.85,8.4,NA,NA,NA,6.075,NA,5.12,4.6,2.74,1.5,0.7498,0.38,NA,NA,NA,NA,NA,NA,145.79
"35",0.0425,1664892300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.65,NA,NA,NA,4.6,2.72,1.47,0.74,NA,NA,NA,NA,NA,NA,NA,145.6501
"36",0.0425,1664892360000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,7.1,NA,NA,NA,NA,4.6005,2.738,1.42,0.74,0.38,0.2,NA,NA,NA,NA,NA,145.575
"37",0.0425,1664892420000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.15,NA,NA,NA,5.05,NA,2.7045,NA,0.74,0.37,NA,NA,NA,NA,NA,NA,145.59
"38",0.0425,1664892480000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.05,NA,NA,NA,NA,NA,2.68,NA,NA,0.35,NA,NA,NA,NA,NA,NA,145.5722
"39",0.0425,1664892540000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA,NA,1.46,0.7306,NA,NA,NA,NA,NA,NA,NA,145.7508
"40",0.0425,1664892600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,NA,NA,NA,NA,NA,NA,NA,0.735,NA,NA,0.11,NA,NA,NA,NA,145.805
"41",0.0425,1664892660000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,7.85,NA,6.75,NA,NA,NA,NA,2.8,1.49,0.755,NA,NA,NA,NA,NA,NA,NA,145.8999
"42",0.0425,1664892720000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7467,NA,1.52,0.755,NA,NA,NA,NA,NA,NA,NA,146.01
"43",0.0425,1664892780000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.46,9.73,NA,NA,NA,7.275,6.75,NA,5.7,NA,4.7,2.8,1.5,NA,NA,NA,NA,NA,NA,NA,NA,145.98
"44",0.0425,1664892840000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7997,6.19,NA,5.17,NA,2.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.945
"45",0.0425,1664892900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,NA,NA,NA,NA,NA,NA,NA,NA,5.65,NA,NA,2.8033,NA,0.7605,0.39,NA,NA,NA,NA,NA,NA,146.05
"46",0.0425,1664892960000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.85,NA,NA,NA,4.75,NA,1.53,NA,NA,NA,NA,NA,NA,NA,NA,146.0599
"47",0.0425,1664893020000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.8801
"48",0.0425,1664893080000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.34,NA,NA,NA,NA,4.71,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,146.0422
"49",0.0425,1664893140000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.27,6.75,6.15,NA,NA,4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.8908
"50",0.0425,1664893200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.01,NA,NA,NA,6.66,NA,NA,NA,NA,2.75,1.48,NA,NA,NA,NA,NA,NA,NA,NA,145.8
"51",0.0425,1664893260000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.47,NA,NA,NA,NA,NA,NA,NA,NA,145.84
"52",0.0425,1664893320000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4333,NA,NA,NA,NA,NA,NA,NA,NA,1.4783,NA,NA,NA,NA,NA,NA,NA,NA,145.9601
"53",0.0425,1664893380000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.905
"54",0.0425,1664893440000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,145.88
"55",0.0425,1664893500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.25,NA,NA,NA,NA,NA,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.855
"56",0.0425,1664893560000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.9
"57",0.0425,1664893620000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.8489
"58",0.0425,1664893680000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,NA,NA,NA,4.7,2.78,NA,0.76,0.39,NA,NA,NA,NA,NA,NA,145.9696
"59",0.0425,1664893740000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.65,NA,NA,NA,4.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.72
"60",0.0425,1664893800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,NA,NA,NA,NA,4.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.8855
"61",0.0425,1664893860000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,145.9797
"62",0.0425,1664893920000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49,NA,NA,NA,NA,NA,NA,NA,NA,145.915
"63",0.0425,1664893980000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,6.71,NA,5.7,5.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146.0009
"64",0.0425,1664894040000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.55,NA,9.2333,NA,8,7.35,6.8,6.25,5.76,5.2,4.8,2.825,1.55,0.7669,0.3894,NA,NA,NA,NA,NA,NA,146.12
"65",0.0425,1664894100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146.13
"66",0.0425,1664894280000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.75,6.15,NA,NA,4.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146.0132
"67",0.0425,1664894340000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,NA,NA,NA,4.71,2.81,1.51,0.76,NA,NA,NA,NA,NA,NA,NA,146.0725
"68",0.0425,1664894400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,2.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,146.1502
"69",0.0425,1664894460000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,NA,NA,NA,NA,NA,NA,NA,0.7888,NA,NA,0.1,NA,NA,NA,NA,146.165
"70",0.0425,1664894520000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146.149
"71",0.0425,1664894580000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.35,NA,NA,NA,NA,NA,2.8,NA,0.78,NA,NA,NA,NA,NA,NA,NA,146.12
"72",0.0425,1664894640000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7364,6.15,NA,NA,NA,NA,1.54,NA,NA,NA,NA,NA,NA,NA,NA,145.87
"73",0.0425,1664894700000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.13,6.6,NA,NA,NA,4.6021,2.72,1.47,0.74,0.36,NA,NA,NA,NA,NA,NA,145.78
"74",0.0425,1664894760000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1174,6.55,NA,NA,NA,4.5538,NA,1.45,NA,NA,NA,NA,NA,NA,NA,NA,145.62
"75",0.0425,1664894820000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,2.6633,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.605
"76",0.0425,1664894880000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,5.5,5,4.55,2.7,1.46,NA,NA,NA,NA,NA,NA,NA,NA,145.6245
"77",0.0425,1664894940000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41,NA,NA,NA,NA,NA,NA,NA,NA,145.5577
"78",0.0425,1.664895e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.85,NA,NA,NA,6.5225,NA,5.45,NA,4.55,NA,1.4,0.72,NA,NA,NA,NA,NA,NA,NA,145.5791
"79",0.0425,1664895060000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.0806,6.3944,5.91,5.4,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.56
"80",0.0425,1664895120000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.64
"81",0.0425,1664895180000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,2.688,1.4196,NA,NA,NA,NA,NA,NA,NA,NA,145.705
"82",0.0425,1664895240000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.65,6.05,NA,NA,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.6699
"83",0.0425,1664895300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.93,NA,NA,NA,NA,NA,7.13,NA,NA,NA,NA,4.6,NA,1.43,0.72,NA,NA,NA,NA,NA,NA,NA,145.715
"84",0.0425,1664895360000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,NA,0.71,NA,NA,NA,NA,NA,NA,NA,145.79
"85",0.0425,1664895420000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.692,NA,NA,NA,0.2,NA,NA,NA,NA,NA,145.68
"86",0.0425,1664895540000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.22,NA,NA,5.55,NA,NA,2.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.75
"87",0.0425,1664895600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.05,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.6401
"88",0.0425,1664895660000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,6.51,NA,NA,NA,4.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.56
"89",0.0425,1664895720000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.42,NA,NA,0.19,NA,NA,NA,NA,NA,145.511
"90",0.0425,1664895780000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.595
"91",0.0425,1664895840000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4516,NA,NA,NA,4.6,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,145.48
"92",0.0425,1664895960000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.423,NA,NA,NA,4.45,2.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.475
"93",0.0425,1664896020000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.365
"94",0.0425,1664896080000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.95,NA,NA,NA,NA,NA,2.58,NA,0.69,NA,NA,NA,NA,NA,NA,NA,145.335
"95",0.0425,1664896140000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.95,6.4,NA,NA,4.9,4.45,2.57,NA,NA,NA,NA,NA,NA,0.05,NA,NA,145.27
