"","t","vw.x","vw.y","vw.x","vw.y","vw.x","vw.y","vw.x","vw.y","vw.x","vw.y","vw.x","vw.y","vw.x","vw.y","vw.x","vw.y","vw.x","vw.y","vw.x","vw.y","vw.x","vw.y","vw.x","vw.y","vw.x","vw.y","vw.x","vw.y","vw.x","vw.y","vw.x","vw.y","vw.x","vw.y","vw.x","vw.y","vw.x","vw.y","vw.x","vw.y","vw"
"1",1664890200000,45.48,NA,NA,NA,26.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1,NA,NA,NA,7,NA,NA,NA,NA,4.2625,2.4642,1.17,NA,NA,NA,NA,NA,NA,0.05,NA
"2",1664890260000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.25,7.74,NA,NA,NA,NA,NA,NA,NA,2.4733,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1664890320000,NA,NA,NA,NA,25.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,4.2425,NA,1.22,0.65,NA,NA,NA,NA,NA,NA,NA
"4",1664890380000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.75,8.96,NA,NA,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1664890440000,NA,NA,NA,NA,NA,21.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,NA,NA,6.65,6.17,NA,NA,NA,NA,2.5083,1.3,NA,NA,0.19,NA,NA,NA,NA,NA
"6",1664890500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.85,NA,NA,9.2313,NA,7.7955,7.35,6.65,6.2469,NA,NA,NA,4.2,2.4625,1.3263,NA,NA,0.18,NA,NA,NA,NA,NA
"7",1664890560000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.52,NA,NA,NA,NA,NA,NA,NA,7.86,7.4,6.9,6.3,NA,NA,NA,NA,2.5214,1.33,NA,NA,NA,NA,NA,NA,NA,NA
"8",1664890620000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2,NA,7.94,NA,6.95,6.3667,NA,NA,NA,4.5,2.505,1.36,NA,NA,NA,NA,NA,NA,NA,NA
"9",1664890680000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,6.2467,NA,5.22,NA,4.3,2.5318,NA,NA,0.35,NA,NA,NA,NA,NA,NA
"10",1664890740000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,8.75,NA,NA,6.965,NA,NA,5.33,4.88,4.42,2.5304,1.42,NA,NA,NA,0.1,NA,NA,NA,NA
"11",1664890800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,4.92,4.5,2.646,1.42,NA,NA,0.2,NA,NA,NA,NA,NA
"12",1664890860000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.35,NA,7.95,NA,6.95,6.3857,NA,NA,NA,NA,2.5525,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1664890920000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,NA,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1664890980000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.67,NA,NA,NA,NA,9.09,8.57,NA,7.2,6.7,6.3,NA,NA,NA,4.332,NA,1.38,NA,NA,NA,NA,NA,NA,NA,NA
"15",1664891040000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,0.17,NA,NA,NA,NA,NA
"16",1664891100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.35,NA,9.7,9,8.45,7.65,NA,NA,NA,NA,NA,NA,4.2,2.43,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1664891160000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.5,NA,NA,NA,NA,NA,NA,12.2,NA,NA,9.89,NA,NA,NA,NA,NA,NA,5.7,NA,NA,4.4,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA
"18",1664891220000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,NA,NA,4.4,2.56,1.41,0.7,NA,NA,NA,NA,NA,NA,NA
"19",1664891280000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3,NA,NA,7.475,NA,NA,NA,NA,NA,NA,2.58,1.44,NA,NA,NA,NA,NA,NA,NA,NA
"20",1664891340000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,NA,4.5,2.62,NA,NA,NA,NA,0.1,NA,NA,NA,NA
"21",1664891400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.16,7.5,NA,NA,NA,NA,NA,NA,NA,1.4331,0.73,NA,NA,NA,NA,NA,NA,NA
"22",1664891460000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.65,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",1664891520000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,NA,NA,5.25,NA,NA,NA,NA,0.7,0.34,NA,NA,NA,NA,NA,NA
"24",1664891580000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,NA,NA,2.53,1.39,NA,NA,NA,NA,NA,NA,NA,NA
"25",1664891700000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.23,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA
"26",1664891760000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,NA,NA,NA,4.75,4.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",1664891820000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.24,NA,NA,NA,NA,0.7,0.36,NA,NA,NA,NA,NA,NA
"28",1664891880000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,2.56,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",1664891940000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.02,NA,NA,NA,NA,NA,NA,4.38,NA,1.41,0.74,NA,NA,NA,NA,NA,NA,NA
"30",1.664892e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,6.95,NA,6,5.4,4.86,4.5,2.61,1.4455,0.75,NA,NA,NA,NA,NA,NA,NA
"31",1664892060000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5775,NA,NA,NA,4.65,2.7,1.5167,NA,NA,0.22,NA,NA,NA,NA,NA
"32",1664892120000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3475,6.6,NA,NA,5.11,4.67,NA,NA,0.7624,NA,NA,NA,NA,NA,NA,NA
"33",1664892180000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,9.66,NA,NA,NA,NA,NA,NA,NA,NA,4.7,2.72,1.47,0.75,NA,0.23,NA,NA,NA,NA,NA
"34",1664892240000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.85,8.4,NA,NA,NA,6.075,NA,5.12,4.6,2.74,1.5,0.7498,0.38,NA,NA,NA,NA,NA,NA
"35",1664892300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.65,NA,NA,NA,4.6,2.72,1.47,0.74,NA,NA,NA,NA,NA,NA,NA
"36",1664892360000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,7.1,NA,NA,NA,NA,4.6005,2.738,1.42,0.74,0.38,0.2,NA,NA,NA,NA,NA
